id,predicted_answer,true_answer,is_correct,pred_confidence,confidence_gap,probs,category
generation-for-nlp-559,3,1,FALSE,0.36492285,0.09030765,"[0.25484129786491394, 0.27461519837379456, 0.3649228513240814, 0.10562065988779068]",mmmlu-european_history
generation-for-nlp-560,4,4,TRUE,0.33255368,0.080331564,"[0.25222212076187134, 0.18129077553749084, 0.2339334487915039, 0.3325536847114563]",mmmlu-european_history
generation-for-nlp-561,2,2,TRUE,0.8278696,0.7416463,"[0.04163748398423195, 0.8278695940971375, 0.086223304271698, 0.04426963999867439]",mmmlu-european_history
generation-for-nlp-562,2,2,TRUE,0.6521759,0.48225677,"[0.10443465411663055, 0.6521759033203125, 0.16991913318634033, 0.07347026467323303]",mmmlu-european_history
generation-for-nlp-563,2,4,FALSE,0.36478812,0.08193171,"[0.28285640478134155, 0.36478811502456665, 0.18433675169944763, 0.1680186241865158]",mmmlu-european_history
generation-for-nlp-564,1,1,TRUE,0.58914757,0.35944355,"[0.5891475677490234, 0.22970403730869293, 0.08525311201810837, 0.09589526057243347]",mmmlu-european_history
generation-for-nlp-565,4,4,TRUE,0.39036918,0.073298365,"[0.14718441665172577, 0.14537562429904938, 0.3170708119869232, 0.390369176864624]",mmmlu-european_history
generation-for-nlp-566,3,4,FALSE,0.3996526,0.17851113,"[0.22114147245883942, 0.19724895060062408, 0.3996526002883911, 0.18195702135562897]",mmmlu-european_history
generation-for-nlp-567,3,1,FALSE,0.5080017,0.31853706,"[0.11929914355278015, 0.18323446810245514, 0.5080016851425171, 0.18946464359760284]",mmmlu-european_history
generation-for-nlp-568,2,3,FALSE,0.45562518,0.18411726,"[0.15297552943229675, 0.45562517642974854, 0.2715079188346863, 0.11989130824804306]",mmmlu-european_history
generation-for-nlp-569,2,2,TRUE,0.5975075,0.40739864,"[0.11301470547914505, 0.5975074768066406, 0.19010882079601288, 0.09936903417110443]",mmmlu-european_history
generation-for-nlp-570,1,3,FALSE,0.563675,0.3817956,"[0.5636749863624573, 0.18187938630580902, 0.16352644562721252, 0.09091918915510178]",mmmlu-european_history
generation-for-nlp-571,1,4,FALSE,0.4453576,0.14287049,"[0.4453575909137726, 0.3024871051311493, 0.13494737446308136, 0.11720786243677139]",mmmlu-european_history
generation-for-nlp-573,1,3,FALSE,0.70528746,0.5934866,"[0.7052874565124512, 0.11180083453655243, 0.07632068544626236, 0.10659099370241165]",mmmlu-european_history
generation-for-nlp-574,4,4,TRUE,0.40434867,0.10547358,"[0.12731988728046417, 0.298875093460083, 0.1694563329219818, 0.4043486714363098]",mmmlu-european_history
generation-for-nlp-576,1,4,FALSE,0.8751117,0.7698569,"[0.8751116991043091, 0.010631522163748741, 0.009001987054944038, 0.10525478422641754]",mmmlu-european_history
generation-for-nlp-577,2,2,TRUE,0.38327485,0.10319531,"[0.09055259823799133, 0.3832748532295227, 0.2460930347442627, 0.28007954359054565]",mmmlu-european_history
generation-for-nlp-578,3,3,TRUE,0.4607859,0.22931832,"[0.2314675748348236, 0.16200825572013855, 0.4607858955860138, 0.14573827385902405]",mmmlu-european_history
generation-for-nlp-579,2,3,FALSE,0.6264397,0.342475,"[0.28396469354629517, 0.6264396905899048, 0.06198962405323982, 0.027606068179011345]",mmmlu-european_history
generation-for-nlp-580,2,4,FALSE,0.76290035,0.6438074,"[0.1190929114818573, 0.7629003524780273, 0.04637736827135086, 0.07162927836179733]",mmmlu-european_history
generation-for-nlp-581,3,2,FALSE,0.63863206,0.4153579,"[0.10186423361301422, 0.03622961789369583, 0.63863205909729, 0.22327415645122528]",mmmlu-european_history
generation-for-nlp-582,2,4,FALSE,0.68214077,0.55377334,"[0.12521786987781525, 0.6821407675743103, 0.12836740911006927, 0.06427395343780518]",mmmlu-european_history
generation-for-nlp-583,2,1,FALSE,0.41600448,0.13740289,"[0.12633979320526123, 0.416004478931427, 0.27860158681869507, 0.17905409634113312]",mmmlu-european_history
generation-for-nlp-584,1,1,TRUE,0.46614826,0.22519314,"[0.4661482572555542, 0.0869869813323021, 0.24095511436462402, 0.20590966939926147]",mmmlu-european_history
generation-for-nlp-585,2,2,TRUE,0.37831333,0.109859645,"[0.16372792422771454, 0.3783133327960968, 0.18950505554676056, 0.2684536874294281]",mmmlu-european_history
generation-for-nlp-586,4,3,FALSE,0.4331482,0.17155808,"[0.2518645226955414, 0.05339714139699936, 0.2615901231765747, 0.43314820528030396]",mmmlu-european_history
generation-for-nlp-587,2,2,TRUE,0.5147302,0.28446627,"[0.10218290984630585, 0.5147302150726318, 0.23026394844055176, 0.15282291173934937]",mmmlu-european_history
generation-for-nlp-589,3,1,FALSE,0.57861036,0.30018988,"[0.04379690811038017, 0.09917224943637848, 0.578610360622406, 0.27842047810554504]",mmmlu-european_history
generation-for-nlp-590,2,1,FALSE,0.71891886,0.59022695,"[0.1286918967962265, 0.7189188599586487, 0.07957398891448975, 0.07281521707773209]",mmmlu-european_history
generation-for-nlp-591,2,1,FALSE,0.43900728,0.20575887,"[0.12210152298212051, 0.4390072822570801, 0.23324841260910034, 0.20564281940460205]",mmmlu-european_history
generation-for-nlp-592,3,3,TRUE,0.82794386,0.72647214,"[0.04231085255742073, 0.10147174447774887, 0.8279438614845276, 0.02827351540327072]",mmmlu-european_history
generation-for-nlp-593,3,3,TRUE,0.3109235,0.064527035,"[0.24639645218849182, 0.20163758099079132, 0.3109234869480133, 0.24104243516921997]",mmmlu-european_history
generation-for-nlp-595,2,2,TRUE,0.60656166,0.41392624,"[0.05933438614010811, 0.6065616607666016, 0.1414686143398285, 0.1926354169845581]",mmmlu-european_history
generation-for-nlp-597,3,4,FALSE,0.353942,0.08512768,"[0.2688143253326416, 0.11609046906232834, 0.35394200682640076, 0.2611532509326935]",mmmlu-european_history
generation-for-nlp-598,2,2,TRUE,0.6235829,0.46919352,"[0.1371249258518219, 0.6235828995704651, 0.1543893963098526, 0.0849027931690216]",mmmlu-european_history
generation-for-nlp-599,2,3,FALSE,0.44636685,0.18887764,"[0.2574892044067383, 0.4463668465614319, 0.25393179059028625, 0.04221216216683388]",mmmlu-european_history
generation-for-nlp-600,4,2,FALSE,0.29449356,0.02167347,"[0.20487016439437866, 0.22781625390052795, 0.2728200852870941, 0.29449355602264404]",mmmlu-european_history
generation-for-nlp-601,4,4,TRUE,0.36034894,0.05274108,"[0.0639621838927269, 0.30760785937309265, 0.2680809199810028, 0.3603489398956299]",mmmlu-european_history
generation-for-nlp-602,2,4,FALSE,0.38447028,0.09552172,"[0.28894856572151184, 0.38447028398513794, 0.20696239173412323, 0.11961876600980759]",mmmlu-european_history
generation-for-nlp-603,1,1,TRUE,0.46608007,0.25497788,"[0.46608006954193115, 0.14018385112285614, 0.2111022025346756, 0.18263380229473114]",mmmlu-european_history
generation-for-nlp-604,2,4,FALSE,0.7963445,0.661546,"[0.13479849696159363, 0.796344518661499, 0.06064300984144211, 0.00821392796933651]",mmmlu-european_history
generation-for-nlp-605,3,3,TRUE,0.51880556,0.30734396,"[0.11418098956346512, 0.21146160364151, 0.5188055634498596, 0.15555189549922943]",mmmlu-european_history
generation-for-nlp-607,3,3,TRUE,0.6112159,0.4190331,"[0.06306850165128708, 0.1921827644109726, 0.6112158894538879, 0.1335328221321106]",mmmlu-european_history
generation-for-nlp-608,3,2,FALSE,0.46656707,0.2437222,"[0.09185077995061874, 0.22284486889839172, 0.4665670692920685, 0.21873731911182404]",mmmlu-european_history
generation-for-nlp-611,2,1,FALSE,0.53794587,0.12815616,"[0.40978971123695374, 0.5379458665847778, 0.033362261950969696, 0.018902117386460304]",mmmlu-european_history
generation-for-nlp-612,2,2,TRUE,0.571282,0.29824707,"[0.11871295422315598, 0.5712820291519165, 0.2730349600315094, 0.03697001561522484]",mmmlu-european_history
generation-for-nlp-613,3,4,FALSE,0.4092035,0.017095387,"[0.1390596628189087, 0.05962873250246048, 0.40920349955558777, 0.39210811257362366]",mmmlu-european_history
generation-for-nlp-615,1,1,TRUE,0.29638043,0.0031371117,"[0.2963804304599762, 0.29324331879615784, 0.2817770838737488, 0.1285991370677948]",mmmlu-european_history
generation-for-nlp-616,3,4,FALSE,0.3282056,0.06772342,"[0.2539956867694855, 0.26048216223716736, 0.32820558547973633, 0.15731655061244965]",mmmlu-european_history
generation-for-nlp-617,3,2,FALSE,0.55585074,0.3265553,"[0.22929543256759644, 0.14252085983753204, 0.5558507442474365, 0.07233303785324097]",mmmlu-european_history
generation-for-nlp-618,3,3,TRUE,0.43768808,0.19203709,"[0.18412449955940247, 0.13253647089004517, 0.43768808245658875, 0.2456509917974472]",mmmlu-european_history
generation-for-nlp-619,2,1,FALSE,0.4149441,0.13566369,"[0.279280424118042, 0.4149441123008728, 0.17260104417800903, 0.13317441940307617]",mmmlu-european_history
generation-for-nlp-620,1,2,FALSE,0.30622828,0.04785654,"[0.30622828006744385, 0.2583717405796051, 0.25633174180984497, 0.17906825244426727]",mmmlu-european_history
generation-for-nlp-624,1,2,FALSE,0.29738387,0.01878807,"[0.2973838746547699, 0.27421483397483826, 0.27859580516815186, 0.14980548620224]",mmmlu-european_history
generation-for-nlp-625,2,3,FALSE,0.496624,0.080871046,"[0.027730358764529228, 0.4966239929199219, 0.41575294733047485, 0.059892721474170685]",mmmlu-european_history
generation-for-nlp-627,2,2,TRUE,0.87611157,0.8192933,"[0.033674877136945724, 0.8761115670204163, 0.05681825801730156, 0.03339529410004616]",mmmlu-european_history
generation-for-nlp-628,3,2,FALSE,0.4387713,0.171244,"[0.1258036345243454, 0.267527312040329, 0.4387713074684143, 0.1678978055715561]",mmmlu-european_history
generation-for-nlp-629,3,3,TRUE,0.6934363,0.48415238,"[0.027092328295111656, 0.07018736749887466, 0.693436324596405, 0.2092839479446411]",mmmlu-european_history
